기관코드	전체기관명	최하위기관명	차수	서열	소속기관차수	차상위기관코드	최상위기관코드	대표기관코드	유형분류_대	유형분류_중	유형분류_소	우편번호	행정동코드	소재지코드	나머지주소	지번	전화번호	팩스번호	생성일자	폐지일자	변경일자	존폐여부	이전기관코드
3490000	인천광역시 중구	중구	2	355	0	6280000	6280000	3490000	02	02	04		28110000	NULL	NULL	NULL	032-763-5171	032-760-7488	19680101	NULL	NULL	0	NULL
3490001	인천광역시 중구 기획감사실	기획감사실	3	003	0	3490000	6280000	3490000	02	09	02		NULL	2800000000	NULL	NULL	032 760 7211	032 760 7488	20061011	20210322	20210601	1	NULL
3490002	인천광역시 중구 문화공보실	문화공보실	3	003	NULL	3490000	6280000	3490000	02	09	02		NULL	2811010900	NULL	09	032-760-7221	032-760-7488	20061009	20061011	20061009	1	NULL
3490003	인천광역시 중구 총무국	총무국	3	003	0	3490000	6280000	3490000	02	09	03		NULL	NULL	NULL	NULL	032 760 7231	032 760 7488	20061011	20191004	20191125	1	NULL
3490004	인천광역시 중구 총무국 총무과	총무과	4	001	0	3490003	6280000	3490000	02	09	05		NULL	2811010900	NULL	090000000	032-760-7231	032-760-7488	19880501	20021028	20021028	1	NULL
3490005	인천광역시 중구 총무국 세무과	세무과	4	001	0	3490003	6280000	3490000	02	09	05						032 760 7291	032 760 7488	20061011	20191004	20191125	1	NULL
3490006	인천광역시 중구 총무국 시민과	시민과	4	NULL	0	3490003	6280000	3490000	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	20110412	NULL	1	NULL
3490007	인천광역시 중구 총무국 민원지적과	민원지적과	4	001	0	3490003	6280000	3490000	02	09	05		NULL	NULL	NULL	NULL	032 760 7276	032 760 7488	20061011	20121105	20121105	1	NULL
3490008	인천광역시 중구 사회산업국	사회산업국	3	003	NULL	3490000	6280000	3490000	02	09	03		NULL	2811010900	NULL	09	032-760-7311	032-760-7488	20060702	20060702	20060702	1	NULL
3490009	인천광역시 중구 사회산업국 사회과	사회과	4	NULL	0	3490008	6280000	3490000	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	20110412	NULL	1	NULL
3490010	인천광역시 중구 사회산업국 복지보건과	복지보건과	4	NULL	0	3490008	6280000	3490000	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	20110412	NULL	1	NULL
3490011	인천광역시 중구 사회산업국 환경관리과	환경관리과	4	001	NULL	3490008	6280000	3490000	02	09	05		NULL	2811010900	NULL	09	032-760-7331	032-760-7488	20060702	20060702	20060702	1	NULL
3490012	인천광역시 중구 사회산업국 산업경제과	산업경제과	4	001	NULL	3490008	6280000	3490000	02	09	05		NULL	2811010900	NULL	09	032-760-7351	032-760-7488	20060702	20060702	20060702	1	NULL
3490013	인천광역시 중구 도시관광국	도시관광국	3	003	0	3490000	6280000	3490000	02	09	03		NULL	NULL	NULL	0	032-761-2771	032-760-7488	19910703	20001031	20001107	1	NULL
3490014	인천광역시 중구 도시관광국 건설과	건설과	4	001	0	3490013	6280000	3490000	02	09	05		NULL	NULL	NULL	NULL	032-763-5171	032-760-7488	19680101	20110412	NULL	1	NULL
3490015	인천광역시 중구 도시관광국 건축과	건축과	4	002	0	3490013	6280000	3490000	02	09	05		NULL	NULL	NULL	NULL	032-763-5171	032-760-7488	19831001	20110412	NULL	1	NULL
3490016	인천광역시 중구 도시관광국 도시개발과	도시개발과	4	003	0	3490013	6280000	3490000	02	09	05		NULL	NULL	NULL	0	032-763-5171	032-760-7488	19930805	20001031	20001104	1	NULL
3490017	인천광역시 중구 도시관광국 관광교통과	관광교통과	4	005	0	3490013	6280000	3490000	02	09	05		NULL	NULL	NULL	0	032-763-5171	032-760-7488	19910701	20001031	20001104	1	NULL
3490018	인천광역시 중구 의회사무과	의회사무과	3	003	0	3490000	6280000	3490000	02	04	03	22315					032 760 7506	032 760 7488	19910415		20160830	0	NULL
3490019	인천광역시 중구 보건소	보건소	3	003	0	3490000	6280000	3490000	02	05	04						032 760 7550	032 760 7553	19890101		20160830	0	NULL
3490020	인천광역시 중구 연안동	연안동	3	008	0	3490000	6280000	3490000	02	03	04	400037			00		032 760 7602	032 760 7672	20061011		20221130	0	NULL
3490021	인천광역시 중구 신포동	신포동	3	007	0	3490000	6280000	3490000	02	03	04	400070			00		032 760 7601	032 760 7671	20061011		20221130	0	NULL
3490022	인천광역시 중구 신흥동	신흥동	3	009	0	3490000	6280000	3490000	02	03	04	400101					032 760 7603	032 760 7673	20061011		20221130	0	NULL
3490023	인천광역시 중구 도원동	도원동	3	010	0	3490000	6280000	3490000	02	03	04	400140					032 760 7604	032 760 7674	20061011		20221130	0	NULL
3490024	인천광역시 중구 율목동	율목동	3	011	0	3490000	6280000	3490000	02	03	04	400120					032 760 7605	032 760 7675	20061011		20221130	0	NULL
3490025	인천광역시 중구 동인천동	동인천동	3	012	0	3490000	6280000	3490000	02	03	04	400190					032 760 7606	032 760 7676	20061011		20221130	0	NULL
