SIGUMGO_ORG_C	ICH_SIGUMGO_GUN_GU_C	ICH_SIGUMGO_HOIKYE_C	SIGUMGO_AC_B	SIGUMGO_AC_SER	SIGUMGO_HOIKYE_YR	MNG_NO	TRXDT	TRXNO	IPJI_G	SIGUMGO_TRX_G	SIGUMGO_SUNP_TRX_G	SIGUMGO_IP_TRX_G	SIGUMGO_JI_TRX_G	SIGUMGO_TRX_G1	SIGUMGO_TRX_G2	SIGUMGO_TRX_G3	SIGUMGO_TRX_G4	NEW_GU_YR_G	SUNP_ICH_SIGUMGO_GUN_GU_C	ICH_SIGUMGO_DONG_DEPT_C	SUNP_SIGUMGO_HOIKYE_SMOK_C	CMMT_CTNT	ETC_CTNT	GISDT	GJDT	CRT_CAN_G	TRXBRNO	PMNY_DOC_K	DOC_NO1	DOC_NO2	JI_ORDR_DOC_STT_NO	JI_ORDR_DOC_END_NO	GDSN_K	GDSN_NO	TRAMT	SUNP_CNT	SUNP_AMT	MTAX_CNT	MTAX_AMT	TAX_OI_SUIP_CNT	TAX_OI_SUIP_AMT	OCR_G	OCR_CNT	OCR_AMT	EDTAX_AMT	NTTAX_AMT	LINKAC_KWA_C	LINK_ACSER	LINKAC_TRX_DT	LINKAC_TRX_NO	LINKAC_JAN	IMMD_PROC_DSYN	LST_CDT	LST_CHG_TIME	LST_CHG_SCR_ID	LST_CHG_BRNO	LST_CHG_HWNNO	DR_CHGR_KEYNO	DR_CHGR_HWNNO	CHG_RSN	SIGUMGO_TAX_IP_MNG_NO	FIL_DT1	FIL_DT2	FIL_DT3	FIL_DT4	FIL_DT5	FIL_18_AMT1	FIL_18_AMT2	FIL_18_AMT3	FIL_18_AMT4	FIL_18_AMT5	FIL_2_NO1	FIL_2_NO2	FIL_2_NO3	FIL_2_NO4	FIL_2_NO5	FIL_3_CNT1	FIL_3_CNT2	FIL_3_CNT3	FIL_3_CNT4	FIL_3_CNT5	SIGUMGO_SL_BMK_C	HNDO_TRX_YN	HDTRX_SNO	HNDO_RTRN_K	RTRN_PROC_YN	TRXAF_HNDO_JAN	RPT_SYS_SND_DSYN	RPT_SYS_SND_YN	RPT_SYS_SND_DT	RPT_SYS_SND_TIME	RPT_SYS_SND_CNT	TA_ORG_SND_DSYN	TA_ORG_SND_YN	TA_ORG_SND_DT	TA_ORG_SND_TIME	TA_ORG_SND_CNT	FIL_YN1	FIL_YN2	FIL_YN3	FIL_YN4	FIL_YN5	FIL_YN6	FIL_YN7	FIL_YN8	FIL_YN9	FIL_YN10	FIL_DT6	FIL_DT7	FIL_DT8	FIL_DT9	FIL_DT10	FIL_5_CNT1	FIL_5_CNT2	FIL_5_CNT3	FIL_5_CNT4	FIL_5_CNT5	FIL_10_NO1	FIL_10_NO2	FIL_10_NO3	FIL_10_NO4	FIL_10_NO5	FIL_10_NO6	FIL_10_NO7	FIL_10_NO8	FIL_10_NO9	FIL_10_NO10	FIL_100_CTNT1	FIL_100_CTNT2	FIL_100_CTNT3	FIL_100_CTNT4	FIL_100_CTNT5	SND_DR_DTTM	DROKJA_ID	UPD_DTTM	MODR_ID
28	245	1	10	0	2023	1	20231129	34882	2	67	0	0	90	0	0	0	0	1	0	0	0	2023년도 추계 광견병 예방접종 시술비 지		20231129	20231129	0	1770	0			13299	23162	0	0	5750000	0	0	0	0	0	0	0	0	0	0	0	160	135980	20231129	34882	0	0	20231129	163106	0073370001	1770	68					20231129	164018			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	2310782142	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	45408	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02824501100000023				
28	245	1	10	0	2023	1	20231129	34883	2	67	0	0	90	0	0	0	0	1	0	0	0	2023년 11월분 행복씨앗통장 매칭적립급 지		20231129	20231129	0	1770	0			13297	23160	0	0	10050000	0	0	0	0	0	0	0	0	0	0	0	160	135980	20231129	34883	0	0	20231129	163111	0073370001	1770	68					20231129	164018			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	2310782142	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	45409	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02824501100000023				
28	245	1	10	0	2023	1	20231129	34884	2	67	0	0	90	0	0	0	0	1	0	0	0	2023년 전통시장 화재공제 가입 지원금 지		20231129	20231129	0	1770	0			13296	23159	0	0	7262960	0	0	0	0	0	0	0	0	0	0	0	160	135980	20231129	34884	0	0	20231129	163115	0073370001	1770	68					20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	2310782142	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	45410	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02824501100000023				
28	245	1	10	0	2023	1	20231129	34885	2	67	0	0	90	0	0	0	0	1	0	0	0	2023년 10월분 사회적기업 사회보험료 지원		20231129	20231129	0	1770	0			13294	23157	0	0	5833120	0	0	0	0	0	0	0	0	0	0	0	160	135980	20231129	34885	0	0	20231129	163118	0073370001	1770	68					20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	2310782142	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	45411	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02824501100000023				
28	245	1	10	0	2023	1	20231129	34886	2	67	0	0	90	0	0	0	0	1	0	0	0	2023년 11월 다함께돌봄센터 종사자 관리자		20231129	20231129	0	1770	0			13282	23140	0	0	300000	0	0	0	0	0	0	0	0	0	0	0	160	135980	20231129	34886	0	0	20231129	163128	0073370001	1770	68					20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	2310782142	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	45412	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02824501100000023				
28	0	24	25	1	9999	1	20231129	2029945	2	80	0	0	0	0	0	0	0	1	0	0	0	02-04097629		20231129	20231129	0	7127	0					0	0	33	0	0	0	0	0	0	0	0	0	0	0	160	75274	20231129	2029945	0	0	20231129	163143	EXTGEAN030	7127	00000243					20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	K3					0	0	0	0	0	0	0	80542	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02800024250000199				
28	245	1	10	0	2023	1	20231129	34887	2	67	0	0	90	0	0	0	0	1	0	0	0	2023년도 드림스타트 사업보고대회 참석자		20231129	20231129	0	1770	0			13281	23139	0	0	327800	0	0	0	0	0	0	0	0	0	0	0	160	135980	20231129	34887	0	0	20231129	163145	0073370001	1770	68					20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	2310782142	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	45413	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02824501100000023				
28	0	1	21	7	2023	1	20231129	95455	2	67	0	0	91	0	0	0	0	1	0	0	0	품목별농업인연구회(치유농업) 교육 참석자		20231129	20231129	0	1770	0			2038	55908	0	0	440000	0	0	0	0	0	0	0	0	0	0	0	160	135950	20231129	95455	0	0	20231129	163552	0073370001	1770	68				02800001100000023	20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1	4094	0	0	10577540	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	4094	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02800001210000723				
28	0	1	10	0	2023	1	20231129	95455	2	67	0	0	91	0	0	0	0	1	0	0	0	품목별농업인연구회(치유농업) 교육 참석자		20231129	20231129	0	1770	0			2038	55908	0	0	440000	0	0	0	0	0	0	0	0	0	0	0	0	0	20231129	95455	0	0	20231129	163552	0073370001	1770	68				02800001210000723	20231129	164019				0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1	118685	0	0	25870847491	0	0			0	0	0			0	0	0	0	0	0	0	0	0	0	0	Z1					0	0	0	0	0	0	0	141728	0	0	0	0	0	0	0					02800001100000023				
28	0	1	21	7	2023	1	20231129	95456	2	67	0	0	91	0	0	0	0	1	0	0	0	공용차량(21무9147) 정비비용 지출		20231129	20231129	0	1770	0			2022	55858	0	0	40000	0	0	0	0	0	0	0	0	0	0	0	160	135950	20231129	95456	0	0	20231129	163553	0073370001	1770	68				02800001100000023	20231129	164019			대체	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1	4095	0	0	10537540	0	0			0	0	0			0	0	0	0	0	0	0	1	0	0	0	Z1					0	0	0	0	0	0	0	4095	0	0	0	0	0	0	0	000000000000000000000000000000000000000000				02800001210000723				
