SEQ_NO,KEORAEIL,SUNAPIL,HOIGYE_YEAR,YEAR_GUBUN,GEUMGO_CODE,BANK_GUBUN,MNGBR,ORG_MNGBR,GEORAE_GUBUN,GEORAE_CHANNEL,GUNGU_CODE,JIBGYE_CODE,BONSE_CNT,BONSE_AMT,SEWOI_CNT,SEWOI_AMT,GYOYUKSE_CNT,GYOYUKSE_AMT,NONGTEUKSE_CNT,NONGTEUKSE_AMT,SEIPGYEJWA,JUSEOK,ICHEIL,HOIKYE_SMOK_C,TAX_NO,GIROCD,SUNP_M_G,FIL_DT1,FIL_DT2,FIL_DT3,FIL_DT4,FIL_DT5,FIL_5_NO1,FIL_5_NO2,FIL_5_NO3,FIL_5_NO4,FIL_5_NO5,FIL_18_AMT1,FIL_18_AMT2,FIL_18_AMT3,FIL_18_AMT4,FIL_18_AMT5,DR_DTTM,DROKJA_ID,UPD_DTTM,MODR_ID,KJ_DT
329,20241011,20241002,2023,5,28,88,7127,0,1,5,60,103000,273,17324020,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
331,20241011,20241002,2023,5,28,368,0,0,1,39,60,103000,30,143420,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
332,20241011,20241002,2023,5,28,11,1111,0,1,6,60,103000,2,8760,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
333,20241011,20241002,2023,9,28,88,1,0,1,5,60,103000,13,642710,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
336,20241011,20241002,2023,9,28,368,0,0,1,39,60,103000,4,25740,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
337,20241011,20241002,2023,9,28,374,0,0,1,39,60,103000,2,12870,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
339,20241011,20241002,2023,9,28,11,1111,0,1,6,60,103000,4,24240,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
341,20241011,20241002,2023,5,28,374,0,0,1,39,60,103000,5,707710,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
343,20241011,20241002,2023,5,28,88,1,0,1,5,60,103000,4,1555390,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
344,20241011,20241002,2023,9,28,365,0,0,1,39,60,103000,4,19010,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
345,20241011,20241002,2023,9,28,381,0,0,1,39,60,103000,4,25740,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
347,20241011,20241002,2023,9,28,88,7127,0,1,5,60,103000,116,8228210,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
348,20241011,20241002,2023,9,28,366,0,0,1,39,60,103000,6,38610,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
349,20241011,20241002,2023,5,28,367,0,0,1,39,60,103000,4,25740,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
352,20241011,20241002,2023,9,28,361,0,0,1,39,60,103000,2,12870,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
354,20241011,20241002,2023,9,28,3,1111,1111,1,6,110,104000,1,128040,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
355,20241011,20241002,2023,9,28,3,1111,0,1,6,110,103000,2,28610,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
358,20241011,20241002,2023,9,28,4,1111,1111,1,6,237,104000,0,0,1,1179410,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
369,20241011,20241002,2023,5,28,11,1111,1111,1,6,200,104000,0,0,1,200000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
370,20241011,20241002,2023,9,28,11,1111,1111,1,6,140,104000,2,93400,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
371,20241011,20241002,2023,9,28,11,1111,0,1,6,140,103000,2,4900,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
372,20241011,20241002,2023,9,28,11,1111,1111,1,6,200,104000,1,53670,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
373,20241011,20241002,2023,9,28,11,1111,0,1,6,200,103000,1,2810,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
376,20241011,20241002,2023,5,28,20,1111,1111,1,6,260,104000,3,188110,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
377,20241011,20241002,2023,5,28,20,1111,0,1,6,260,103000,3,13740,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
384,20241011,20241002,2023,5,28,81,1111,1111,1,6,245,104000,0,0,1,88500,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
